0,type collection character,type,subtype,remark
1,as singular types,Data file,,
2,as singular types,Data file,Spreadsheet,
3,as singular types,Data file,Table,
4,as singular types,Data file,Authority file,
5,as singular types,geospatial raster file,,
6,as singular types,geospatial vector file,,
7,as singular types,geospatial vector file,Table,
8,as singular types,Dataset as a collection of data,,
9,as singular types,Dataset as a collection of data,Spreadsheet,
10,as singular types,Dataset as a collection of data,Table,
11,as singular types,Dataset as a collection of data,Authority file,
12,as singular types,Database,,
13,as singular types,Database,Catalog,
14,as singular types,Database,Bibliographic database,
15,as singular types,Database,Ontology,
16,as singular types,Database,Dictionary entry,
17,as singular types,Database,Encyclopedia entry,
18,as singular types,Database,Authority file,
19,as singular types,Database,Table,
20,as singular types,Collection,,
21,as singular types,Collection,collection-book series,
22,as singular types,Collection,website-Blog (Collection Of Posts),
23,as singular types,Manual,,
24,as singular types,Manual,training manual,
25,as singular types,Manual,Handbook,
26,as singular types,Conference proceedings,,
27,as singular types,Conference paper,,
28,as singular types,Conference paper,Conference Abstract,
29,as singular types,Conference paper,Conference Paper not in proceedings,
30,as singular types,Poster,,
31,as singular types,Infographic,,
32,as singular types,Thesis,,
33,as singular types,Thesis,Master thesis,
34,as singular types,Thesis,Dissertation,
35,as singular types,Thesis,Bachelor thesis,
36,as singular types,Journal,,
37,as singular types,Journal article,,
38,as singular types,Book,,
39,as singular types,Book chapter,,
40,as singular types,Presentation,,
41,as singular types,Presentation,Speech,
42,as singular types,Financial report,,
43,as singular types,Financial report,Project report,
44,as singular types,Financial report,Donor report,
45,as singular types,Financial report,Annual report,
46,as singular types,Research report,,
47,as singular types,Research report,Case study,
48,as singular types,Research report,Annual report,
49,as singular types,Research report,Project report,
50,as singular types,Technical report,,
51,as singular types,Technical report,Annual report,
52,as singular types,Technical report,Meeting report,
53,as singular types,Technical report,Case study,
54,as singular types,Technical report,donor report,
55,as singular types,Technical report,Project report,
56,as singular types,Magazine article,,
57,as singular types,Newsletter,,
58,as singular types,Newsletter,Newsletter article,
59,as singular types,Newspaper,,
60,as singular types,Newspaper,Newspaper article,
61,as singular types,Press item,,
62,as singular types,News Item,,
63,as singular types,News Item,Press release,
64,as singular types,Directive document,,
65,as singular types,Directive document,Policy,
66,as singular types,Directive document,Standard operating procedure,
67,as singular types,Directive document,Textbook,
68,as singular types,Directive document,Handbook,
69,as singular types,Directive document,Good Practice Note,
70,as singular types,Directive document,experimental protocol,
71,as singular types,Directive document,internal document,
72,as singular types,Directive document,Briefing paper,
73,as singular types,Post,,
74,as singular types,Personal Communication,,
75,as singular types,Personal Communication,Letter,
76,as singular types,Personal Communication,Note,
77,as singular types,Personal Communication,E-mail,
78,as singular types,Personal Communication,Mobile Message,
79,as singular types,Legal document,,
80,as singular types,Legal document,Government document,
81,as singular types,Legal document,Contract,
82,as singular types,Legal document,Memorandum,
83,as singular types,KOS,,
84,as singular types,KOS,Vocabulary,
85,as singular types,KOS,Taxonomy,
86,as singular types,KOS,ontology,
87,as singular types,KOS,authority file,
88,as singular types,Software,,
89,as singular types,Website,,
90,as singular types,Website,Webpage,
91,as singular types,Website,Wiki,
92,as singular types,Source code,,
93,as singular types,Source code,script,
94,as singular types,Source code,algorithm,
95,as singular types,Source code,Model,
96,as singular types,Source code,Equation,
97,as singular types,Audio,,
98,as singular types,Audio,Radio broadcast,
99,as singular types,Video,,
100,as singular types,Video,graphic-Animated/interactive,
101,as singular types,Video recording,,
102,as singular types,Video recording,TV broadcast,
103,as singular types,Image,,
104,as singular types,Image,graphic,
105,as singular types,Image,cartographic,
106,as singular types,Image,Photograph,
107,as singular types,Image,Logo,
108,as singular types,Map,,
109,as singular types,Map,graphic-Animated/interactive,
110,as singular types,brochure,,
111,as singular types,Working paper,,
112,as singular types,Standard,,
113,as singular types,Other,,
114,as singular types,Other,Project plan,
115,as singular types,Other,briefing paper,
116,as singular types,Other,Policy brief,
117,as singular types,Other,Factsheet,
118,as singular types,Other,Poster paper,
119,as singular types,Other,Workshop paper,
120,as singular types,Other,Seminar paper,
121,as singular types,Other,Internal document,
122,as singular types,Other,Interactive resource,
123,as singular types,Other,Notebook,
124,as singular types,Other,Questionnaire,
125,as singular types,Other,Concept Note,
126,as singular types,Other,Pamphlet,
127,as singular types,Other,Memorandum,
128,as singular types,Other,Exercise,
129,as singular types,Other,Test,
130,as singular types,Other,Lesson,
131,as singular types,Other,Template,
132,as singular types,Other,Equation,
133,as singular types,Other,Model,
134,as singular types,Other,graphic-Animated/interactive,
135,as singular types,Other,cartographic,
136,as singular types,Other,Table,
137,as singular types,Other,Authority file,
138,as singular types,Other,Abstract,
139,as singular types,Other,template,
140,as singular types,Other,workshop paper,
141,as singular types,Other,Seminar paper,
142,as singular types,Other,Equation,
143,as singular types,Other,Model,
144,as singular types,Other,animated/interactive graphic,
145,as singular types,Other,cartographic ressources,
146,multiple item types,,,
147,multiple item types,Database,,can contain any type or subtype
148,multiple item types,Dataset As A Collection Of Data,,
149,multiple item types,Dataset As A Collection Of Data,Equation,
150,multiple item types,Dataset As A Collection Of Data,Model,
151,multiple item types,Dataset As A Collection Of Data,Data file,
152,multiple item types,Dataset As A Collection Of Data,Authority file,
153,multiple item types,Dataset As A Collection Of Data,Table,
154,multiple item types,Dataset As A Collection Of Data,Spreadsheet,
155,multiple item types,Dataset As A Collection Of Data,Questionnaire,
156,multiple item types,Dataset As A Collection Of Data,Template,
157,multiple item types,Conference Proceedings,,
158,multiple item types,Conference Proceedings,Table,
159,multiple item types,Conference Proceedings,Conference paper,
160,multiple item types,Conference Proceedings,Conference Abstract,
161,multiple item types,Conference Proceedings,Infographic,
162,multiple item types,Conference Proceedings,Presentation,
163,multiple item types,Conference Proceedings,Speech,
164,multiple item types,Conference Proceedings,Working paper,
165,multiple item types,Conference Proceedings,Poster paper,
166,multiple item types,Conference Proceedings,Seminar paper,
167,multiple item types,Conference Proceedings,Workshop paper,
168,multiple item types,Conference Proceedings,Map,
169,multiple item types,Website,,can contain any type or subtype
170,multiple item types,Collection,,can contain any type or subtype
171,multiple item types,collection-book series,,
172,multiple item types,collection-book series,Book,
173,multiple item types,collection-book series,Conference proceedings,
174,multiple item types,website-Blog (Collection Of Posts),,
175,multiple item types,website-Blog (Collection Of Posts),Post,
176,multiple item types,website-Blog (Collection Of Posts),Audio,
