0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.license,dc.accessRights,terms of use,dc.rightsHolder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box,dc.coverage type=geospatial reference system
344,KOS,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,recommended,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,not applicable,optional,optional,optional,optional,optional,not applicable
3,Data file,1,0,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,required if applicable,required,recommended,optional,optional,optional,recommended,optional,required if applicable,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable
5,Database,1,0,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,recommended,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,required if applicable,required,recommended,optional,optional,optional,recommended,optional,required if applicable,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable
13,Dataset as a collection of data,1,0,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,required if applicable,required,recommended,optional,optional,optional,recommended,optional,required if applicable,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable
15,geospatial raster file,1,0,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,required if applicable,recommended,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,required
15.5,geospatial vector file,1,0,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,required if applicable,required,recommended,optional,optional,optional,recommended,optional,required if applicable,recommended,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,required
27,Collection,1,0,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,required if applicable,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,recommended,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,not applicable
235,Manual,1,0,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,recommended,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,not applicable
117,Website,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,not applicable,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,recommended,not applicable
132,Software,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,not applicable,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,not applicable,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,recommended,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,not applicable,not applicable,not applicable,not applicable,optional,not applicable
80,Image,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,recommended,recommended,recommended,recommended,recommended,not applicable
87,Audio,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,recommended,recommended,optional,optional,optional,not applicable
154,Brochure,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,not applicable,required,recommended,recommended,required if applicable,required,recommended,recommended,recommended,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
210,Directive document,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,not applicable
228,Legal document,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
313,Technical Report,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,recommended,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
324,Source Code,1,0,required,recommended,not applicable,not applicable,required,required,optional,recommended,required,recommended,recommended,not applicable,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,recommended,optional,optional,optional,recommended,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
329,Standard,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,required if applicable,required if applicable,optional,optional,optional,not applicable
239,News Item,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
278,Post,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,not applicable,optional,recommended,optional,optional,optional,recommended,recommended,required,required,optional,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
285,Press Item,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,not applicable
357,Working Paper,1,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,not applicable
82,Map,1,0,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required,required if applicable,recommended,recommended,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,recommended,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required,required,required,required
221,Journal,1,0,required,recommended,required,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,not applicable
222,Journal Article,1,0,required,recommended,required,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,recommended,optional,recommended,recommended,recommended,recommended,recommended,recommended,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
279,Poster,1,0,required,recommended,required,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
48,Other,1,0,required,recommended,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,recommended,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
72,Video,1,0,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,recommended,recommended,recommended,recommended,optional,not applicable
73,Video Recording,1,0,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,recommended,recommended,recommended,recommended,optional,not applicable
107,Newsletter,1,0,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,not applicable
115,Infographic,1,0,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
244,Newspaper,1,0,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
310,Research Report,1,0,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,recommended,optional,recommended,recommended,optional,recommended,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
143,Book,1,0,required,recommended,required,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,recommended,recommended,recommended,recommended,recommended,recommended,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
144,Book Chapter,1,0,required,recommended,required,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,optional,required,recommended,recommended,recommended,recommended,recommended,recommended,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
160,Conference Paper,1,0,required,recommended,required,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,optional,recommended,recommended,recommended,recommended,recommended,recommended,recommended,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
165,Conference Proceedings,1,0,required,recommended,required,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
233,Magazine Article,1,0,required,recommended,optional,not applicable,required,required,required,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,recommended,optional,recommended,recommended,recommended,recommended,recommended,recommended,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
58,Personal Communication,1,0,required,recommended,not applicable,not applicable,required,required,optional,recommended,required,recommended,recommended,not applicable,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,not applicable,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,not applicable
366,Financial Report,1,0,required,recommended,not applicable,not applicable,required,required,optional,recommended,optional,recommended,recommended,optional,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
