date,samples
2021-04-14,26426
2021-04-13,26402
2021-04-11,26030
2021-04-10,26030
2021-04-09,26030
2021-04-08,26030
2021-04-05,26005
2021-04-04,26005
2021-04-03,26005
2021-04-02,26005
2021-04-01,26005
2021-03-31,25994
2021-03-30,25994
2021-03-29,25994
2021-03-28,25922
2021-03-27,25922
2021-03-26,25922
2021-03-25,25741
2021-03-24,25730
2021-03-23,25911
2021-03-22,25911
2021-03-21,25911
2021-03-20,25911
2021-03-19,25911
2021-03-18,25911
2021-03-17,25896
2021-03-16,25848
2021-03-15,25542
2021-03-14,25542
2021-03-13,25542
2021-03-12,25359
2021-03-10,25353
2021-03-04,25313
2021-03-03,25217
2021-03-02,25217
2021-03-01,25217
2021-02-28,24713
2021-02-27,24713
